0	C	0	10	6	93
100	C	1	4	0	859
200	C	2	8	9	762
300	C	3	8	4	802
400	C	4	3	0	946
500	C	5	7	10	531
600	C	6	10	5	667
700	C	7	2	1	240
800	C	8	6	3	165
900	C	9	1	4	317
1000	C	10	3	8	481
1100	C	11	5	6	113
1200	C	12	5	4	825
1300	C	13	9	1	136
1400	C	14	9	5	76
1500	C	15	6	9	197
1600	C	16	9	3	962
1700	C	17	8	2	341
1800	C	18	5	0	356
1900	C	19	2	0	797
2000	C	20	1	5	237
2100	C	21	1	9	364
2200	C	22	1	3	648
2300	C	23	3	9	518
2400	C	24	1	3	728
2500	C	25	3	6	546
2600	C	26	3	10	982
2700	C	27	1	6	202
2800	C	28	6	5	948
2900	C	29	10	6	187
3000	C	30	4	0	96
3100	C	31	6	2	879
3200	C	32	1	4	550
3300	C	33	5	6	532
3400	C	34	8	1	501
3500	C	35	0	1	967
3600	C	36	10	4	878
3700	C	37	2	7	741
3800	C	38	9	0	237
3900	C	39	2	9	816
4000	C	40	5	7	844
4100	C	41	0	3	544
4200	C	42	5	8	238
4300	C	43	2	4	380
4400	C	44	6	1	855
4500	C	45	8	4	372
4600	C	46	6	1	576
4700	C	47	8	0	966
4800	C	48	5	6	237
4900	C	49	7	0	569
5000	C	50	3	9	21
5100	C	51	6	9	588
5200	C	52	4	8	92
5300	C	53	1	7	675
5400	C	54	6	4	884
5500	C	55	2	7	570
5600	C	56	6	0	351
5700	C	57	3	9	782
5800	C	58	6	5	629
5900	C	59	9	8	789
6000	C	60	3	9	229
6100	C	61	9	1	212
6200	C	62	8	1	680
6300	C	63	4	0	948
6400	C	64	4	7	383
6500	C	65	5	8	420
6600	C	66	5	10	922
6700	C	67	3	7	811
6800	C	68	6	9	485
6900	C	69	1	10	886
7000	C	70	8	5	595
7100	C	71	9	0	180
7200	C	72	8	0	11
7300	C	73	8	10	138
7400	C	74	8	5	861
7500	C	75	9	0	482
7600	C	76	4	1	380
7700	C	77	4	5	975
7800	C	78	7	4	764
7900	C	79	9	4	277
8000	C	80	6	0	774
8100	C	81	6	0	637
8200	C	82	4	6	239
8300	C	83	9	0	412
8400	C	84	3	0	17
8500	C	85	6	9	607
8600	C	86	7	4	354
8700	C	87	6	10	490
8800	C	88	2	8	234
8900	C	89	8	5	334
9000	C	90	8	4	436
9100	C	91	9	6	238
9200	C	92	5	6	271
9300	C	93	8	0	265
9400	C	94	2	1	243
9500	C	95	9	2	800
9600	C	96	3	9	324
9700	C	97	7	3	524
9800	C	98	2	3	410
9900	C	99	8	9	458
